state,waiting_period,prch_lic_req,cc_rstct,mag_rstct,oc_rstrct,style_rstrct
Alabama,0,0,1,0,0,0
Alaska,0,0,0,0,0,0
Arizona,0,0,1,0,0,0
Arkansas,0,0,1,0,0,0
California,1,1,1,1,1,1
Colorado,0,0,1,1,0,0
Connecticut,1,1,1,1,1,0
Delaware,0,0,1,1,0,1
DC,1,1,1,1,1,1
Florida,1,0,1,0,1,1
Georgia,0,0,1,0,1,0
Hawaii,1,1,1,1,1,1
Idaho,0,0,0,0,0,0
Illinois,1,1,1,0,0,1
Indiana,0,0,1,0,1,0
Iowa,1,0,0,0,0,0
Kansas,0,0,1,0,0,0
Kentucky,0,0,0,0,0,0
Louisiana,0,0,1,0,0,0
Maine,0,0,1,0,0,0
Maryland,1,1,1,1,1,1
Massachusetts,0,1,1,1,1,0
Michigan,0,1,1,0,0,0
Minnesota,1,1,1,0,1,0
Mississippi,0,0,0,0,0,0
Missouri,0,0,1,0,0,0
Montana,0,0,1,0,0,0
Nebraska,0,1,1,0,0,0
Nevada,0,0,1,0,0,0
New Hampshire,0,0,0,0,0,0
New Jersey,1,1,1,1,1,1
New Mexico,0,0,1,0,0,0
New York,1,1,1,1,1,1
North Carolina,0,1,1,0,0,0
North Dakota,0,0,0,0,0,0
Ohio,0,0,1,0,0,0
Oklahoma,0,0,1,0,0,0
Oregon,0,0,1,0,0,0
Pennsylvania,0,0,1,0,0,0
Rhode Island,1,1,1,0,0,0
South Carolina,0,0,1,0,1,0
South Dakota,0,0,0,0,0,0
Tennessee,0,0,1,0,0,0
Texas,0,0,1,0,1,0
Utah,0,0,0,0,0,0
Vermont,0,0,0,0,0,0
Virginia,0,0,1,0,0,0
Washington,1,0,1,0,0,0
West Virginia,0,0,0,0,0,0
Wisconsin,0,0,1,0,0,0
Wyoming,0,0,1,0,0,0